full_name,spkid,epoch,e,a,q,i,om,w,ma,tp,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_tp,sigma_ma,data_arc,first_obs,last_obs,n_obs_used
C/2008 A1 (McNaught),1002491,2454735.5,1.000230471730961,-4655.992023392321,1.073074540971431,82.54917530843085,277.8836993312148,348.4732575918569,-9.692929957973991E-6,2454738.624419517,4.1179E-6,83.187,8.3358E-7,1.9616E-5,3.7646E-5,1.8222E-5,3.0531E-5,2.5979E-7,636,2008-01-10,2009-10-07,906.0
C/2009 G1 (STEREO),1003020,2454960.5,0.9976784818454305,486.2085688014063,1.128742019379714,108.3102563579814,120.6349939093651,175.4440802487743,.002067966001251441,2454938.0056611397,7.1382E-5,14.957,1.7149E-5,.00018892,.00068696,.0024671,.0021135,9.5619E-5,113,2009-04-09,2009-07-31,119.0
C/2010 J4 (WISE),1003091,2455333.5,0.9999935925132187,169416.2960576699,1.085532677520908,162.2965271698157,316.4053868551018,83.75334172763874,1.954533838612015E-7,2455319.6716012675,.009786,2.5874E8,.0001997,.022341,.0077811,.044535,.040805,.00044777,11,2010-05-12,2010-05-23,43.0
C/2011 Q4 (SWAN),1003149,2455870.5,0.974158227443668,43.03990425896251,1.112227416706415,147.8430700500252,252.0857091205893,1.880850387483179,.1567846245755487,2455825.5834551416,5.4892E-6,.0093233,5.5401E-6,4.3187E-5,.00027586,.00015884,.00018304,5.1473E-5,204,2011-09-04,2012-03-26,168.0
C/2011 U3 (PANSTARRS),1003156,2455873.5,1.000449228774744,-2385.059256481489,1.071437247480918,116.7759557054995,228.3789198430203,287.8238931135182,-.001767606785684808,2456082.396106973,.00011384,603.52,.00041143,.0082943,6.7954E-5,.018043,.011091,.000671,94,2011-10-24,2012-01-26,60.0
C/2012 K1 (PANSTARRS),1003190,2456697.5,1.000152915493971,-6896.600670785898,1.054597098294,142.4282581726916,317.7376491689354,203.1066008825931,-.0003435922110605922,2456897.1603630064,8.3691E-7,37.74,9.6333E-7,4.9087E-6,1.7963E-5,6.6937E-5,3.7092E-5,2.8203E-6,1546,2012-05-14,2016-08-07,7829.0
C/2012 K5 (LINEAR),1003192,2456215.5,0.9985264981019603,774.8961847263805,1.141810998978076,92.8480254183311,279.0390212042847,139.289758710655,359.9979581320962,2456260.187787429,7.3916E-7,.38873,7.92E-8,8.7907E-6,3.1043E-6,9.7573E-6,1.3424E-5,1.5361E-6,343,2012-05-06,2013-04-14,4281.0
C/2013 G5 (Catalina),1003246,2456405.5,0.9997146123853236,3254.937232676171,0.9289187727550069,40.61347633650212,144.2821603657757,165.6672851179409,359.999302039838,2456537.0044617793,6.6096E-5,753.78,2.3949E-5,.0030465,.0064419,.0025931,.010761,.00024249,52,2013-04-07,2013-05-29,114.0
C/2013 K1 (Christensen),1003260,2456443.5,0.9881156749766993,79.79109493505285,0.9482633061732122,42.34152090569845,125.9087092805298,171.3325625204554,.001152586875563448,2456442.6665083887,7.2799E-5,.48942,8.2073E-6,.0007069,.0013599,.00033536,.00028761,1.0909E-5,50,2013-05-18,2013-07-07,52.0
C/2013 UQ4 (Catalina),1003316,2456850.5,0.9821535430641831,60.57084268670604,1.080974935574438,145.2585720800541,317.6623965796692,23.31216387401101,.01262919268353405,2456844.45958275,6.9444E-7,.0023564,8.0883E-8,1.171E-5,1.6781E-5,2.1531E-5,1.4033E-5,7.351E-7,862,2013-10-23,2016-03-03,1853.0
C/2015 ER61 (PANSTARRS),1003443,2457873.5,0.997278605169853,382.9403597760523,1.042131915349179,6.348648626051271,235.2217409789212,68.19225859030109,359.9986921361895,2457883.4438636415,2.0729E-6,.29181,4.4194E-7,1.2735E-5,8.9367E-5,9.2789E-5,4.2753E-5,1.4997E-6,1421,2015-01-21,2018-12-12,2826.0
C/2015 E61-B (PANSTARRS),1003535,2457937.5,1.000016466064013,-63413.76562230677,1.044175124039388,6.35127665373667,235.2577873438787,68.31621822963767,3.336867405451742E-6,2457883.4357490162,.00037038,1426400.,7.7075E-5,.00032437,.0022051,.011343,.0054445,.00011259,189,2017-06-11,2017-12-17,50.0
C/2016 E2 (Kowalski),1003457,2457466.5,1.000226429023678,-4749.316615651506,1.075383124419562,135.9971564028321,186.6651573345939,321.9715087810212,.0001244212355393749,2457425.182206543,.00048652,10204.,8.4828E-5,.0030674,.001178,.014941,.01442,.00040095,64,2016-03-06,2016-05-09,108.0
C/2016 VZ18 (PANSTARRS),1003495,2457804.5,0.9953224034804047,194.6012037287076,0.9102659132704619,24.03563546278521,98.95480816991747,36.38622084440971,359.9944160102706,2457819.880088001,3.6582E-6,.15221,2.0242E-7,4.9643E-5,8.9901E-5,5.5694E-5,2.1573E-5,6.5503E-6,290,2016-10-08,2017-07-25,351.0
C/2017 E1 (Borisov),1003504,2457828.5,1.002574245322817,-349.8743913604389,0.9006625155330636,14.55415195179485,142.7328256699739,152.473457204951,-.003785973513813832,2457853.6386372666,3.0442E-5,4.1356,4.8122E-6,5.5833E-5,.00047216,.00054136,.00021794,6.7149E-5,116,2017-03-01,2017-06-25,183.0
